代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率
"""839371""",欧福蛋业,12.88,29.97,2.97,202054,225246233.97,34.81,12.88,9.43,9.43,9.91,7.56,34.56,43.55,4.8
"""831087""",秋乐种业,16.5,26.83,3.49,259333,393592951.7,21.68,16.9,14.08,14.2,13.01,11.68,16.1,40.21,4.86
"""839729""",永顺生物,13.11,23.91,2.53,291017,365311287.95,20.79,13.7,11.5,12.3,10.58,7.91,37.88,65.11,5.42
"""837403""",康农种业,33.0,20.83,5.69,98916,307247841.57,22.12,34.45,28.41,28.5,27.31,9.23,23.79,21.1,4.8
"""300189""",神农种业,4.31,20.06,0.72,2700245,1090541738.36,16.99,4.31,3.7,3.71,3.59,15.83,30.47,-152.14,5.89
"""300967""",晓鸣股份,22.36,20.02,3.73,318955,662347791.27,19.86,22.36,18.66,18.98,18.63,3.79,25.56,-368.38,6.5
"""301156""",美农生物,22.37,20.01,3.73,121110,270923159.48,0.0,22.37,22.37,22.37,18.64,2.88,18.81,74.72,4.26
"""871970""",大禹生物,9.61,17.05,1.4,165138,148337994.88,29.35,10.3,7.89,8.0,8.21,3.63,23.78,-34.55,3.64
"""873305""",九菱科技,36.02,16.16,5.01,66499,224350485.55,22.9,37.37,30.27,33.0,31.01,4.0,18.33,72.12,7.1
"""838275""",驱动力,12.07,15.72,1.64,166683,183617200.07,36.63,13.48,9.66,9.8,10.43,4.33,22.23,101.84,8.06
"""301116""",益客食品,13.53,13.79,1.64,264550,332919037.4,21.11,13.85,11.34,11.51,11.89,7.85,5.89,32.31,3.32
"""832786""",骑士乳业,10.45,13.71,1.26,273012,264411570.22,18.61,10.6,8.89,9.0,9.19,3.84,24.93,-188.29,2.86
"""833394""",民士达,33.01,13.44,3.91,106297,346379193.47,17.08,34.97,30.0,34.97,29.1,9.81,22.17,48.03,6.74
"""870866""",绿亨科技,9.81,11.6,1.02,135125,128075427.98,21.96,10.28,8.35,9.0,8.79,7.31,14.43,25.65,2.31
"""300318""",博晖创新,6.45,11.59,0.67,572946,371389759.1,13.84,6.8,6.0,6.0,5.78,20.79,7.17,166.62,3.78
"""688301""",奕瑞科技,123.89,10.54,11.81,46696,565784161.0,16.33,125.5,107.2,107.2,112.08,5.84,3.26,35.41,3.79
"""300087""",荃银高科,10.77,10.46,1.02,974473,1013244828.5,15.28,11.0,9.51,10.11,9.75,15.8,10.88,-90.74,5.8
"""300294""",博雅生物,30.01,10.29,2.8,314577,934050605.13,7.13,30.76,28.82,28.82,27.21,18.2,6.24,38.12,2.02
"""002084""",海鸥住工,3.8,10.14,0.35,919679,349390478.69,2.61,3.8,3.71,3.8,3.45,8.63,14.33,-406.58,1.54
"""836961""",西磁科技,41.85,10.13,3.85,65602,263947927.4,14.97,42.55,36.86,39.8,38.0,3.76,17.56,110.65,10.43
"""601008""",连云港,4.68,10.12,0.43,1612433,736303436.0,8.71,4.68,4.31,4.44,4.25,15.03,13.0,30.46,1.42
"""600540""",新赛股份,4.69,10.09,0.43,258946,121445852.0,0.0,4.69,4.69,4.69,4.26,5.57,4.45,-34.57,4.07
"""600354""",敦煌种业,6.35,10.05,0.58,1057429,651111151.0,8.67,6.35,5.85,5.99,5.77,20.88,20.03,67.2,5.14
"""600598""",北大荒,15.68,10.04,1.43,1281322,1979037845.0,6.04,15.68,14.82,15.68,14.25,18.73,7.21,25.64,3.57
"""003030""",祖名股份,19.86,10.03,1.81,182458,357192882.0,7.53,19.86,18.5,19.86,18.05,13.2,22.53,-154.15,2.45
"""603221""",爱丽家居,11.53,10.02,1.05,59336,68413832.0,0.0,11.53,11.53,11.53,10.48,4.04,2.47,22.61,1.83
"""600371""",万向德农,9.67,10.01,0.88,301904,286545257.0,6.94,9.67,9.06,9.25,8.79,19.11,10.32,40.99,4.94
"""001212""",中旗新材,42.86,10.01,3.9,26064,111712104.12,0.0,42.86,42.86,42.86,38.96,1.64,2.53,104.33,3.29
"""002900""",哈三联,14.73,10.01,1.34,369434,532972274.33,8.07,14.73,13.65,14.02,13.39,11.73,21.34,86.12,2.18
"""600965""",福成股份,5.94,10.0,0.54,602200,356561119.0,4.81,5.94,5.68,5.7,5.4,3.35,7.36,94.07,2.26
"""000403""",派林生物,24.1,10.0,2.19,568617,1356904008.83,5.39,24.1,22.92,23.0,21.91,14.36,7.82,24.35,2.28
"""603967""",中创物流,13.43,9.99,1.22,208652,280220079.0,0.0,13.43,13.43,13.43,12.21,5.22,6.02,18.42,1.98
"""002549""",凯美特气,11.12,9.99,1.01,1352065,1370598204.65,19.98,11.12,9.1,9.1,10.11,2.62,19.53,-174.24,3.85
"""002982""",湘佳股份,23.46,9.99,2.13,176627,399342190.08,8.35,23.46,21.68,22.28,21.33,6.16,19.04,28.7,2.15
"""002880""",卫光生物,30.51,9.99,2.77,92528,280570888.51,7.82,30.51,28.34,29.99,27.74,16.05,4.09,28.41,3.23
"""002258""",利尔化学,9.81,9.98,0.89,631924,605924444.3,6.73,9.81,9.21,9.29,8.92,16.07,7.91,36.47,1.02
"""000715""",中兴商业,7.96,9.94,0.72,456246,343657186.01,13.81,7.96,6.96,6.96,7.24,3.64,11.0,32.96,1.72
"""002688""",金河生物,6.53,9.93,0.59,197210,128778162.65,0.0,6.53,6.53,6.53,5.94,0.86,2.65,33.22,2.25
"""603336""",宏辉果蔬,5.76,9.92,0.52,817018,456116681.0,7.82,5.76,5.35,5.35,5.24,4.78,14.32,126.91,2.9
"""601086""",国芳集团,5.76,9.92,0.52,101586,58513248.0,0.0,5.76,5.76,5.76,5.24,2.3,1.53,80.93,2.48
"""002041""",登海种业,11.32,9.8,1.01,525726,575759755.09,6.89,11.33,10.62,10.8,10.31,16.5,5.97,127.53,2.77
"""002254""",泰和新材,11.01,9.66,0.97,697289,744959320.39,9.96,11.04,10.04,10.16,10.04,16.03,8.52,47.17,1.34
"""000713""",丰乐种业,8.03,9.4,0.69,943308,738953556.57,8.31,8.07,7.46,7.68,7.34,17.84,15.36,70.6,2.45
"""688102""",斯瑞新材,11.06,9.4,0.95,400401,431302730.0,14.64,11.68,10.2,10.38,10.11,6.77,5.51,68.62,7.23
"""600161""",天坛生物,22.55,8.99,1.86,1022786,2292077030.0,4.59,22.75,21.8,21.8,20.69,15.25,5.17,28.78,4.0
"""600359""",新农开发,7.51,8.84,0.61,506191,368220828.0,10.58,7.59,6.86,7.11,6.9,17.26,13.27,90.01,4.25
"""600313""",农发种业,6.89,8.5,0.54,848448,568845031.0,7.56,6.98,6.5,6.58,6.35,19.42,7.84,101.0,3.89
"""002321""",华英农业,2.6,8.33,0.2,992099,247578684.3,12.5,2.63,2.33,2.36,2.4,11.75,4.67,126.8,5.77
"""832023""",田野股份,5.95,8.18,0.45,318439,181592485.98,19.64,6.18,5.1,5.28,5.5,8.56,11.85,51.1,1.6
"""603072""",天和磁材,57.53,8.06,4.29,263477,1477472388.0,14.58,58.56,50.8,58.55,53.24,2.61,40.69,107.03,7.64
"""836807""",奔朗新材,11.61,7.7,0.83,125922,141074410.03,8.81,11.75,10.8,10.8,10.78,5.73,10.19,63.29,2.26
"""000998""",隆平高科,11.08,7.68,0.79,924217,999428830.68,7.77,11.3,10.5,10.5,10.29,21.59,7.03,-23.02,3.21
"""002631""",德尔未来,5.06,7.66,0.36,697684,338418002.61,17.23,5.17,4.36,4.49,4.7,3.19,8.79,2403.98,1.71
"""688625""",呈和科技,44.16,7.63,3.13,38829,176805684.0,15.21,48.98,42.74,44.24,41.03,5.92,2.87,23.89,4.55
"""603739""",蔚蓝生物,16.31,7.59,1.15,432902,673284449.0,15.7,16.68,14.3,15.0,15.16,6.63,17.11,75.77,2.39
"""002385""",大北农,4.36,7.39,0.3,3030874,1282067704.92,10.1,4.45,4.04,4.13,4.06,18.06,8.6,105.35,2.27
"""300106""",西部牧业,10.32,7.28,0.7,329237,328735115.46,13.2,10.5,9.23,9.23,9.62,6.39,15.58,-39.33,4.36
"""300313""",ST天山,5.61,7.27,0.38,120307,66755390.0,12.62,5.76,5.1,5.1,5.23,11.25,6.1,-31.63,85.49
"""601952""",苏垦农发,10.49,7.26,0.71,565956,580566562.0,7.98,10.68,9.9,10.26,9.78,16.75,4.11,19.84,2.11
"""300127""",银河磁体,26.32,7.17,1.76,230274,596148949.31,8.31,26.8,24.76,24.9,24.56,6.3,9.98,57.79,5.87
"""836826""",盖世食品,12.63,7.12,0.84,109346,130551308.13,15.86,12.77,10.9,11.16,11.79,4.93,17.53,32.58,5.17
"""831726""",朱老六,22.91,7.06,1.51,56246,124374833.22,17.06,23.65,20.0,20.56,21.4,4.84,10.06,86.09,5.3
"""603688""",石英股份,31.92,6.93,2.07,260672,806939095.0,13.13,32.1,28.18,28.33,29.85,2.96,4.81,41.44,3.01
"""000722""",湖南发展,13.97,6.89,0.9,697331,941686020.58,15.61,14.31,12.27,12.9,13.07,6.74,15.02,79.19,2.09
"""300468""",四方精创,17.61,6.34,1.05,608203,1047043766.6,18.12,18.5,15.5,15.61,16.56,9.83,11.5,133.44,5.77
"""600127""",金健米业,7.1,6.29,0.42,638993,441663286.0,10.18,7.29,6.61,6.61,6.68,10.66,9.96,2044.47,6.83
"""832175""",东方碳素,11.5,6.28,0.68,42938,44709353.91,21.07,11.7,9.42,10.06,10.82,3.09,7.1,-16.81,1.75
"""300898""",熊猫乳品,31.24,6.08,1.79,127728,387213918.24,14.23,31.98,27.79,27.79,29.45,3.9,11.13,37.21,4.04
"""301556""",托普云农,94.89,6.06,5.42,24741,221700754.0,12.84,96.35,84.86,86.0,89.47,3.61,13.48,79.24,9.02
"""002165""",红 宝 丽,7.44,5.83,0.41,2065309,1502908950.08,12.52,7.59,6.71,7.26,7.03,2.24,28.38,89.01,2.71
"""300761""",立华股份,20.78,5.8,1.14,353336,717272262.32,10.49,21.55,19.49,19.69,19.64,7.46,5.84,11.11,1.98
"""000876""",新 希 望,10.29,5.76,0.56,1494692,1524185237.07,10.28,10.65,9.65,9.85,9.73,12.1,3.32,98.34,1.82
"""600108""",亚盛集团,3.01,5.61,0.16,1240580,367178711.0,7.72,3.07,2.85,2.88,2.85,11.14,6.37,120.67,1.38
"""603477""",巨星农牧,21.67,5.6,1.15,347332,730380300.0,11.65,22.04,19.65,19.8,20.52,3.96,6.81,21.32,3.59
"""000505""",京粮控股,6.51,5.51,0.34,328165,208217511.73,11.67,6.75,6.03,6.2,6.17,10.92,5.27,181.11,1.51
"""688052""",纳芯微,163.31,5.46,8.46,34489,548595900.0,11.28,164.46,147.0,147.11,154.85,3.92,3.69,-57.77,3.92
"""600536""",中国软件,46.98,5.43,2.42,497217,2301559837.0,10.7,47.9,43.13,43.51,44.56,8.68,5.89,-88.72,18.39
"""839273""",一致魔芋,40.55,5.3,2.04,42116,164548308.84,16.77,41.98,35.52,35.6,38.51,2.15,8.69,34.49,4.83
"""688114""",华大智造,81.91,5.28,4.11,57582,444046130.0,14.19,82.84,71.8,72.0,77.8,3.53,2.7,-56.94,4.27
"""600746""",江苏索普,8.93,5.18,0.44,439883,371566121.0,13.31,9.0,7.87,8.03,8.49,2.26,3.77,37.76,1.94
